T25,Threatened species,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2004,Threatened Species: Vertebrates (number),31,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2010,Threatened Species: Vertebrates (number),31,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2015,Threatened Species: Vertebrates (number),31,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2019,Threatened Species: Vertebrates (number),33,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2020,Threatened Species: Vertebrates (number),33,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2021,Threatened Species: Vertebrates (number),38,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2022,Threatened Species: Vertebrates (number),42,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2004,Threatened Species: Invertebrates (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2010,Threatened Species: Invertebrates (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2015,Threatened Species: Invertebrates (number),2,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2019,Threatened Species: Invertebrates (number),2,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2020,Threatened Species: Invertebrates (number),2,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2021,Threatened Species: Invertebrates (number),2,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2022,Threatened Species: Invertebrates (number),2,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2004,Threatened Species: Plants (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2010,Threatened Species: Plants (number),2,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2015,Threatened Species: Plants (number),5,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2019,Threatened Species: Plants (number),5,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2020,Threatened Species: Plants (number),5,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2021,Threatened Species: Plants (number),8,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2022,Threatened Species: Plants (number),11,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2004,Threatened Species: Total (number),33,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2010,Threatened Species: Total (number),34,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2015,Threatened Species: Total (number),38,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2019,Threatened Species: Total (number),40,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2020,Threatened Species: Total (number),40,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2021,Threatened Species: Total (number),48,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
4,Afghanistan,2022,Threatened Species: Total (number),55,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2020,Threatened Species: Vertebrates (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2021,Threatened Species: Vertebrates (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2022,Threatened Species: Vertebrates (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2020,Threatened Species: Invertebrates (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2021,Threatened Species: Invertebrates (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2022,Threatened Species: Invertebrates (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2020,Threatened Species: Plants (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2021,Threatened Species: Plants (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2022,Threatened Species: Plants (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2020,Threatened Species: Total (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2021,Threatened Species: Total (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
248,Åland Islands,2022,Threatened Species: Total (number),1,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2004,Threatened Species: Vertebrates (number),33,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2010,Threatened Species: Vertebrates (number),53,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2015,Threatened Species: Vertebrates (number),54,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2019,Threatened Species: Vertebrates (number),61,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2020,Threatened Species: Vertebrates (number),64,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2021,Threatened Species: Vertebrates (number),70,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2022,Threatened Species: Vertebrates (number),78,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2004,Threatened Species: Invertebrates (number),4,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2010,Threatened Species: Invertebrates (number),47,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2015,Threatened Species: Invertebrates (number),58,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2019,Threatened Species: Invertebrates (number),71,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2020,Threatened Species: Invertebrates (number),73,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2021,Threatened Species: Invertebrates (number),72,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2022,Threatened Species: Invertebrates (number),74,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2004,Threatened Species: Plants (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2010,Threatened Species: Plants (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2015,Threatened Species: Plants (number),0,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2019,Threatened Species: Plants (number),5,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2020,Threatened Species: Plants (number),5,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2021,Threatened Species: Plants (number),5,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2022,Threatened Species: Plants (number),5,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2004,Threatened Species: Total (number),37,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2010,Threatened Species: Total (number),100,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2015,Threatened Species: Total (number),112,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2019,Threatened Species: Total (number),137,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2020,Threatened Species: Total (number),142,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2021,Threatened Species: Total (number),147,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
8,Albania,2022,Threatened Species: Total (number),157,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2004,Threatened Species: Vertebrates (number),36,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2010,Threatened Species: Vertebrates (number),69,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2015,Threatened Species: Vertebrates (number),71,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2019,Threatened Species: Vertebrates (number),81,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2020,Threatened Species: Vertebrates (number),85,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2021,Threatened Species: Vertebrates (number),96,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2022,Threatened Species: Vertebrates (number),109,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2004,Threatened Species: Invertebrates (number),12,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2010,Threatened Species: Invertebrates (number),21,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2015,Threatened Species: Invertebrates (number),26,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2019,Threatened Species: Invertebrates (number),40,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2020,Threatened Species: Invertebrates (number),42,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2021,Threatened Species: Invertebrates (number),42,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2022,Threatened Species: Invertebrates (number),44,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2004,Threatened Species: Plants (number),2,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2010,Threatened Species: Plants (number),15,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2015,Threatened Species: Plants (number),17,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2019,Threatened Species: Plants (number),24,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2020,Threatened Species: Plants (number),28,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2021,Threatened Species: Plants (number),32,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
12,Algeria,2022,Threatened Species: Plants (number),33,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed May 2023."
