"Series_reference","Period","Data_value","STATUS","UNITS","Subject","Group","Series_title_1","Series_title_2"
"CPIQ.SE901","1914.06",13.1678579027356,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1914.09",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1914.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1915.03",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1915.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1915.09",14.9191831306991,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1915.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1916.03",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1916.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1916.09",15.801429331307,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1916.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1917.03",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1917.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1917.09",16.7758510638298,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1917.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1918.03",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1918.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1918.09",18.5403434650456,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1918.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1919.03",18.724693768997,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1919.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1919.09",19.2645759878419,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1919.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1920.03",21.0159012158055,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1920.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1920.09",22.5697082066869,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1920.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1921.03",23.0569186930091,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1921.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1921.09",21.4109369300912,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1921.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1922.03",19.0670577507599,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1922.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1922.09",18.6061831306991,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1922.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1923.03",18.382329787234,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1923.06",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1923.09",18.8300364741641,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
"CPIQ.SE901","1923.12",0,"FINAL","Index","CPI","CPI Level 1 Groups for New Zealand","Food",NA
