"Series_Reference","Period","Data_Value","Status Code","Type","Group","Description"
"CPIQ.SAP0200","2024.06",24.65,"FINAL","Weighted average price",NA,"Beer – bottles (supermarket & liquor store)"
"CPIQ.SAP0210","2024.06",8.32,"FINAL","Weighted average price",NA,"Beer – glass (licensed premises)"
"CPIQ.SAP0220","2024.06",30.19,"FINAL","Weighted average price",NA,"Wine – cask, white (supermarket & liquor store)"
"CPIQ.SAP0230","2024.06",57.05,"FINAL","Weighted average price",NA,"Whisky (liquor store)"
"CPIQ.SAP0240","2024.06",54.26,"FINAL","Weighted average price",NA,"Cigarettes (supermarket & convenience store)"
"CPIQ.SAP0300","2024.06",12.22,"FINAL","Weighted average price",NA,"Socks – men's (clothing store & department store)"
"CPIQ.SAP0320","2024.06",41.73,"FINAL","Weighted average price",NA,"Dry cleaning – men's two-piece, woollen suit"
"CPIQ.SAP0400","2024.06",64.04,"FINAL","Weighted average price",NA,"Spouting/guttering – plastic"
"CPIQ.SAP0410","2024.06",613.81,"FINAL","Weighted average price",NA,"Concrete blocks – 390mm x 190mm x 190mm"
"CPIQ.SAP0420","2024.06",199,"FINAL","Weighted average price",NA,"House paint – acrylic, white"
"CPIQ.SAP0500","2024.06",231.59,"FINAL","Weighted average price",NA,"Carpet – wool, heavy duty, cut pile, width 3.66m"
"CPIQ.SAP0510","2024.06",1.15,"FINAL","Weighted average price",NA,"Electric light bulb - standard, 100 watt (supermarket)"
"CPIQ.SAP0531","2024.06",3.93,"FINAL","Weighted average price",NA,"Clothes washing powder – concentrate (supermarket)"
"CPIQ.SAP0541","2024.06",3.99,"FINAL","Weighted average price",NA,"Detergent – dishwashing liquid (supermarket)(3)"
"CPIQ.SAP0550","2024.06",4.96,"FINAL","Weighted average price",NA,"Cling food wrap – refill roll (supermarket)"
"CPIQ.SAP0600","2024.06",49.37,"FINAL","Weighted average price",NA,"General Practitioner – consultation, adult without"
"CPIQ.SAP0610","2024.06",91.54,"FINAL","Weighted average price",NA,"Optometrist – examination"
"CPIQ.SAP0620","2024.06",189.35,"FINAL","Weighted average price",NA,"Dental examination – 2 X-rays, scale and polish"
"CPIQ.SAP0700","2024.06",191.2,"FINAL","Weighted average price",NA,"Car battery – 12 volts"
"CPIQ.SAP0710","2024.06",27.64,"FINAL","Weighted average price",NA,"Petrol – 91 octane"
"CPIQ.SAP0720","2024.06",29.56,"FINAL","Weighted average price",NA,"Petrol – 95/98 octane"
"CPIQ.SAP0730","2024.06",20.93,"FINAL","Weighted average price",NA,"Diesel"
"CPIQ.SAP0740","2024.06",74.29,"FINAL","Weighted average price",NA,"Warrant of fitness – private car"
"CPIQ.SAP0800","2024.06",2,"FINAL","Weighted average price",NA,"Postage – standard, medium-size envelope"
"CPIQ.SAP0910","2024.06",4.61,"FINAL","Weighted average price",NA,"Pet food – canned (supermarket)"
"CPIQ.SAP1100","2024.06",89.14,"FINAL","Weighted average price",NA,"Hairdressing – women's shampoo, cut, and blow wave"
"CPIQ.SAP1110","2024.06",5.08,"FINAL","Weighted average price",NA,"Bathroom soap – cake, 100g (supermarket)"
"CPIQ.SAP1120","2024.06",6.47,"FINAL","Weighted average price",NA,"Shampoo (supermarket)"
"CPIQ.SAP1130","2024.06",3.6,"FINAL","Weighted average price",NA,"Tissues – facial (supermarket)"
"CPIQ.SAP1141","2024.06",7.12,"FINAL","Weighted average price",NA,"Toilet paper (supermarket)"
"CPIQ.SAP1142","2024.06",76.53,"FINAL","Weighted average price",NA,"Storage costs (excluding vehicle storage)"
"CPIQ.SE101","2024.06",1295,"FINAL","Regional index","Auckland","Food"
"CPIQ.SE102","2024.06",1376,"FINAL","Regional index","Auckland","Alcoholic beverages and tobacco"
"CPIQ.SE103","2024.06",1072,"FINAL","Regional index","Auckland","Clothing and footwear"
"CPIQ.SE104","2024.06",1332,"FINAL","Regional index","Auckland","Housing and household utilities"
"CPIQ.SE104101","2024.06",1177,"FINAL","Regional index","Auckland","Actual rentals for housing"
"CPIQ.SE104201","2024.06",1606,"FINAL","Regional index","Auckland","Purchase of housing"
"CPIQ.SE105","2024.06",1152,"FINAL","Regional index","Auckland","Household contents and services"
"CPIQ.SE106","2024.06",1154,"FINAL","Regional index","Auckland","Health"
"CPIQ.SE107","2024.06",1277,"FINAL","Regional index","Auckland","Transport"
"CPIQ.SE107202","2024.06",1542,"FINAL","Regional index","Auckland","Petrol"
"CPIQ.SE109","2024.06",1223,"FINAL","Regional index","Auckland","Recreation and culture"
"CPIQ.SE111","2024.06",1287,"FINAL","Regional index","Auckland","Miscellaneous goods and services"
"CPIQ.SE1A","2024.06",1263,"FINAL","Regional index","Auckland","All Groups"
"CPIQ.SE201","2024.06",1284,"FINAL","Regional index","Wellington","Food"
"CPIQ.SE202","2024.06",1374,"FINAL","Regional index","Wellington","Alcoholic beverages and tobacco"
"CPIQ.SE203","2024.06",1100,"FINAL","Regional index","Wellington","Clothing and footwear"
"CPIQ.SE204","2024.06",1345,"FINAL","Regional index","Wellington","Housing and household utilities"
"CPIQ.SE204101","2024.06",1325,"FINAL","Regional index","Wellington","Actual rentals for housing"
"CPIQ.SE204201","2024.06",1392,"FINAL","Regional index","Wellington","Purchase of housing"
"CPIQ.SE205","2024.06",1141,"FINAL","Regional index","Wellington","Household contents and services"
"CPIQ.SE206","2024.06",1155,"FINAL","Regional index","Wellington","Health"
"CPIQ.SE207","2024.06",1249,"FINAL","Regional index","Wellington","Transport"
"CPIQ.SE207202","2024.06",1420,"FINAL","Regional index","Wellington","Petrol"
"CPIQ.SE209","2024.06",1176,"FINAL","Regional index","Wellington","Recreation and culture"
"CPIQ.SE211","2024.06",1302,"FINAL","Regional index","Wellington","Miscellaneous goods and services"
"CPIQ.SE2A","2024.06",1255,"FINAL","Regional index","Wellington","All Groups"
"CPIQ.SE301","2024.06",1284,"FINAL","Regional index","Rest of North Island","Food"
"CPIQ.SE302","2024.06",1433,"FINAL","Regional index","Rest of North Island","Alcoholic beverages and tobacco"
"CPIQ.SE303","2024.06",1081,"FINAL","Regional index","Rest of North Island","Clothing and footwear"
"CPIQ.SE304","2024.06",1466,"FINAL","Regional index","Rest of North Island","Housing and household utilities"
"CPIQ.SE304101","2024.06",1433,"FINAL","Regional index","Rest of North Island","Actual rentals for housing"
"CPIQ.SE304201","2024.06",1702,"FINAL","Regional index","Rest of North Island","Purchase of housing"
"CPIQ.SE305","2024.06",1182,"FINAL","Regional index","Rest of North Island","Household contents and services"
"CPIQ.SE306","2024.06",1233,"FINAL","Regional index","Rest of North Island","Health"
"CPIQ.SE307","2024.06",1289,"FINAL","Regional index","Rest of North Island","Transport"
"CPIQ.SE307202","2024.06",1499,"FINAL","Regional index","Rest of North Island","Petrol"
"CPIQ.SE309","2024.06",1209,"FINAL","Regional index","Rest of North Island","Recreation and culture"
"CPIQ.SE311","2024.06",1287,"FINAL","Regional index","Rest of North Island","Miscellaneous goods and services"
"CPIQ.SE3A","2024.06",1299,"FINAL","Regional index","Rest of North Island","All Groups"
"CPIQ.SE401","2024.06",1289,"FINAL","Regional index","North Island","Food"
"CPIQ.SE402","2024.06",1400,"FINAL","Regional index","North Island","Alcoholic beverages and tobacco"
"CPIQ.SE403","2024.06",1080,"FINAL","Regional index","North Island","Clothing and footwear"
"CPIQ.SE404","2024.06",1380,"FINAL","Regional index","North Island","Housing and household utilities"
"CPIQ.SE404101","2024.06",1271,"FINAL","Regional index","North Island","Actual rentals for housing"
"CPIQ.SE404201","2024.06",1612,"FINAL","Regional index","North Island","Purchase of housing"
"CPIQ.SE405","2024.06",1162,"FINAL","Regional index","North Island","Household contents and services"
"CPIQ.SE406","2024.06",1188,"FINAL","Regional index","North Island","Health"
"CPIQ.SE407","2024.06",1279,"FINAL","Regional index","North Island","Transport"
"CPIQ.SE407202","2024.06",1508,"FINAL","Regional index","North Island","Petrol"
"CPIQ.SE409","2024.06",1210,"FINAL","Regional index","North Island","Recreation and culture"
"CPIQ.SE411","2024.06",1289,"FINAL","Regional index","North Island","Miscellaneous goods and services"
"CPIQ.SE4A","2024.06",1275,"FINAL","Regional index","North Island","All Groups"
"CPIQ.SE501","2024.06",1273,"FINAL","Regional index","Canterbury","Food"
"CPIQ.SE502","2024.06",1396,"FINAL","Regional index","Canterbury","Alcoholic beverages and tobacco"
"CPIQ.SE503","2024.06",1062,"FINAL","Regional index","Canterbury","Clothing and footwear"
"CPIQ.SE504","2024.06",1294,"FINAL","Regional index","Canterbury","Housing and household utilities"
"CPIQ.SE504101","2024.06",1246,"FINAL","Regional index","Canterbury","Actual rentals for housing"
"CPIQ.SE504201","2024.06",1310,"FINAL","Regional index","Canterbury","Purchase of housing"
"CPIQ.SE505","2024.06",1213,"FINAL","Regional index","Canterbury","Household contents and services"
"CPIQ.SE506","2024.06",1211,"FINAL","Regional index","Canterbury","Health"
"CPIQ.SE507","2024.06",1256,"FINAL","Regional index","Canterbury","Transport"
"CPIQ.SE507202","2024.06",1404,"FINAL","Regional index","Canterbury","Petrol"
"CPIQ.SE509","2024.06",1206,"FINAL","Regional index","Canterbury","Recreation and culture"
"CPIQ.SE511","2024.06",1370,"FINAL","Regional index","Canterbury","Miscellaneous goods and services"
"CPIQ.SE5A","2024.06",1251,"FINAL","Regional index","Canterbury","All Groups"
"CPIQ.SE601","2024.06",1293,"FINAL","Regional index","Rest of South Island","Food"
"CPIQ.SE602","2024.06",1439,"FINAL","Regional index","Rest of South Island","Alcoholic beverages and tobacco"
"CPIQ.SE603","2024.06",1095,"FINAL","Regional index","Rest of South Island","Clothing and footwear"
