Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,26936,19:05:41.168004,19:05:41.327833,0.159829,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
Air_Quality.csv,32668,19:05:41.224587,19:05:41.360241,0.135654,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
annual-enterprise-survey-2023-financial-year-provisional.csv,12224,19:05:41.260557,19:05:41.560959,0.300402,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
bank.csv,32540,19:05:41.272667,19:05:41.318801,0.046134,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
consumers-price-index-june-2024-quarter-index-numbers.csv,27420,19:05:41.288713,19:05:41.393469,0.104756,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
consumers-price-index-june-2024-quarter-infoshare-data.csv,21548,19:05:41.304183,19:05:41.330395,0.026212,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
consumo_casa.csv,31288,19:05:41.346951,19:05:41.722084,0.375133,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
economic-survey-of-manufacturing-march-2024-csv.csv,29592,19:05:41.320811,19:05:41.554996,0.234185,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,24868,19:05:41.318801,19:05:41.510029,0.191228,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
gamergate_tweets.csv,22860,19:05:41.382333,19:05:41.575372,0.193039,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
iou_zipcodes_2020.csv,1452,19:05:41.364151,19:05:41.564912,0.200761,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
machine-readable-business-employment-data-mar-2024-quarter.csv,28356,19:05:41.408426,19:05:41.556000,0.147574,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
research-and-development-survey-2023.csv,4460,19:05:41.390585,19:05:41.602344,0.211759,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
"SYB66_1_202310_Population, Surface Area and Density.csv",29796,19:05:41.404337,19:05:41.493712,0.089375,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,9508,19:05:41.434608,19:05:41.466484,0.031876,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
SYB66_313_202310_Threatened Species.csv,32540,19:05:41.340159,19:05:41.394495,0.054336,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
SYB66_327_202310_International Migrants and Refugees.csv,21548,19:05:41.342663,19:05:41.395497,0.052834,multi_core,19:05:38.919558,19:05:41.168004,19:05:41.395497,19:05:41.925361,3.005803
