Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,19884,19:37:26.117953,19:37:26.166696,0.048743,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
Air_Quality.csv,1704,19:37:29.706004,19:37:29.777143,0.071139,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
annual-enterprise-survey-2023-financial-year-provisional.csv,10156,19:37:32.566424,19:37:32.815635,0.249211,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
bank.csv,13468,19:37:27.442971,19:37:27.457007,0.014036,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
consumers-price-index-june-2024-quarter-index-numbers.csv,23280,19:37:32.689311,19:37:32.720523,0.031212,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
consumers-price-index-june-2024-quarter-infoshare-data.csv,27672,19:37:38.518000,19:37:38.525791,0.007791,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
consumo_casa.csv,20132,19:37:24.757746,19:37:25.217578,0.459832,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
economic-survey-of-manufacturing-march-2024-csv.csv,15364,19:37:32.437024,19:37:32.674873,0.237849,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,32428,19:37:42.542147,19:37:42.720567,0.178420,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
gamergate_tweets.csv,5444,19:37:42.788375,19:37:43.005706,0.217331,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
iou_zipcodes_2020.csv,21040,19:37:33.171217,19:37:33.268134,0.096917,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
machine-readable-business-employment-data-mar-2024-quarter.csv,26028,19:37:33.530838,19:37:33.629529,0.098691,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
research-and-development-survey-2023.csv,9904,19:37:28.761840,19:37:28.863185,0.101345,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
"SYB66_1_202310_Population, Surface Area and Density.csv",7560,19:37:32.240401,19:37:32.264875,0.024474,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,16836,19:37:42.238369,19:37:42.249333,0.010964,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
SYB66_313_202310_Threatened Species.csv,32692,19:37:25.080486,19:37:25.139843,0.059357,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
SYB66_327_202310_International Migrants and Refugees.csv,7252,19:37:26.846838,19:37:26.870693,0.023855,same_core,19:37:21.310521,19:37:26.117953,19:37:26.870693,19:37:43.448502,22.137981
