Archivo,PID,Hora de inicio,Hora de finalización,Duración (s),Modo,Hora de inicio del programa,Hora de inicio de la carga del primer archivo,Hora de finalización de la carga del último archivo,Hora de finalización del programa,Tiempo total del proceso (s)
Accumulation-accounts-2008-2022-provisional.csv,12516,19:33:26.101586,19:33:26.153803,0.052217,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
Air_Quality.csv,12516,19:33:26.153803,19:33:26.180249,0.026446,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
annual-enterprise-survey-2023-financial-year-provisional.csv,12516,19:33:26.180249,19:33:26.258733,0.078484,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
bank.csv,12516,19:33:26.258733,19:33:26.266980,0.008247,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
consumers-price-index-june-2024-quarter-index-numbers.csv,12516,19:33:26.266980,19:33:26.303579,0.036599,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
consumers-price-index-june-2024-quarter-infoshare-data.csv,12516,19:33:26.303579,19:33:26.307752,0.004173,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
consumo_casa.csv,12516,19:33:26.307752,19:33:26.520986,0.213234,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
economic-survey-of-manufacturing-march-2024-csv.csv,12516,19:33:26.520986,19:33:26.602968,0.081982,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
electronic-card-transactions-june-2024-csv-tables.xlsx.csv,12516,19:33:26.602968,19:33:26.635844,0.032876,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
gamergate_tweets.csv,12516,19:33:26.635844,19:33:26.723884,0.088040,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
iou_zipcodes_2020.csv,12516,19:33:26.723884,19:33:26.775526,0.051642,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
machine-readable-business-employment-data-mar-2024-quarter.csv,12516,19:33:26.775526,19:33:26.815831,0.040305,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
research-and-development-survey-2023.csv,12516,19:33:26.815831,19:33:26.885806,0.069975,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
"SYB66_1_202310_Population, Surface Area and Density.csv",12516,19:33:26.885806,19:33:26.906863,0.021057,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
SYB66_223_202310_Net Disbursements from Official ODA from Donors.csv,12516,19:33:26.906863,19:33:26.907172,0.000309,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
SYB66_313_202310_Threatened Species.csv,12516,19:33:26.907172,19:33:26.920469,0.013297,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
SYB66_327_202310_International Migrants and Refugees.csv,12516,19:33:26.920469,19:33:26.936579,0.016110,sequentially,19:33:26.101586,19:33:26.101586,19:33:26.936579,19:33:26.936579,0.834993
